lot,account,ticker,acquired,value,unrealized,eligible,sell_frac,sell_shares,E[loss],P(in loss),replace_with,corr,buy_back_from,why_not
0,taxable,VOO,2025-12-10,34500.0,-2220.0,False,0.0,0.0,0.0,,,,,planned buy of IVV on 2026-11-01 in ira
1,taxable,VTI,2025-11-20,35040.0,-3120.0,True,0.8625,103.4966,2491.714526032375,0.87525,VOO,0.9968210150514186,2026-12-22,
2,taxable,QQQ,2026-01-15,16440.0,240.0,True,0.0,0.0,0.0,0.3965,,,,
3,taxable,VEA,2025-07-01,21200.0,-2000.0,True,1.0,400.0,1835.5128988480599,0.91525,IEFA,0.995575221238938,2026-12-22,
4,taxable,VWO,2026-03-03,13650.0,-450.0,True,0.2636,79.0834,165.77919984900743,0.627,IEMG,0.9900990099009902,2026-12-22,
5,taxable,BND,2024-05-14,14500.0,-300.0,True,1.0,200.0,265.2225040586932,0.73475,AGG,0.9900990099009902,2026-12-22,
6,taxable,AAPL,2023-06-01,11400.0,1900.0,True,0.0,0.0,0.0,0.054,,,,
7,taxable,NVDA,2023-02-01,6880.0,3080.0,True,0.0,0.0,0.0,0.00175,,,,
8,taxable,INTC,2024-03-01,11000.0,-6000.0,False,0.0,0.0,0.0,,,,,DRIP on this lot: switch it off
9,taxable,NKE,2024-08-01,10800.0,-3900.0,False,0.0,0.0,0.0,,,,,planned buy of NKE on 2026-11-10 in spouse
10,taxable,PFE,2025-01-10,12500.0,-2500.0,True,1.0,500.0,2416.4273105730367,0.96775,XLV,0.5810199472559886,2026-12-22,
11,taxable,DIS,2025-03-12,19200.0,-4400.0,True,1.0,200.0,4226.725683918022,0.94425,XLC,0.6754406604311848,2026-12-22,
12,taxable,XOM,2025-04-02,11200.0,-1300.0,True,1.0,100.0,1297.476702517056,0.84275,XLE,0.8236853130370453,2026-12-22,
13,taxable,JPM,2024-10-01,17400.0,5100.0,True,0.0,0.0,0.0,0.0005,,,,
14,ira,IVV,2024-06-01,57500.0,7500.0,False,0.0,0.0,0.0,,,,,sheltered account (ira): loss not deductible; planned buy of IVV on 2026-11-01 in ira
