ticker,name,wash_group,factor,beta,idio_vol,listing,sector,sector_beta
VOO,Vanguard S&P 500 ETF,SP500,US_EQ,1.00,0.005,US,,0.0
IVV,iShares Core S&P 500 ETF,SP500,US_EQ,1.00,0.005,US,,0.0
SPY,SPDR S&P 500 ETF,SP500,US_EQ,1.00,0.005,US,,0.0
VTI,Vanguard Total Stock Market ETF,US_TOTAL_CRSP,US_EQ,1.02,0.012,US,,0.0
ITOT,iShares Core S&P Total US Stock ETF,US_TOTAL_SP,US_EQ,1.02,0.012,US,,0.0
SCHB,Schwab US Broad Market ETF,US_BROAD_DJ,US_EQ,1.02,0.013,US,,0.0
SCHX,Schwab US Large-Cap ETF,US_LARGE_DJ,US_EQ,1.00,0.009,US,,0.0
QQQ,Invesco QQQ Trust,NDX100,US_EQ,1.15,0.070,US,TECH,0.5
QQQM,Invesco Nasdaq 100 ETF,NDX100,US_EQ,1.15,0.070,US,TECH,0.5
VGT,Vanguard Information Technology ETF,US_IT_MSCI,US_EQ,1.20,0.03,US,TECH,1.0
XLK,Technology Select Sector SPDR,US_TECH_SPDR,US_EQ,1.18,0.03,US,TECH,1.0
VEA,Vanguard FTSE Developed Markets ETF,DEV_FTSE,INTL_EQ,1.00,0.010,US,,0.0
IEFA,iShares Core MSCI EAFE ETF,DEV_MSCI_IMI,INTL_EQ,1.00,0.010,US,,0.0
VWO,Vanguard FTSE Emerging Markets ETF,EM_FTSE,EM_EQ,1.00,0.020,US,,0.0
IEMG,iShares Core MSCI Emerging Markets ETF,EM_MSCI,EM_EQ,1.00,0.020,US,,0.0
BND,Vanguard Total Bond Market ETF,US_AGG_FLOAT,BOND,1.00,0.006,US,,0.0
AGG,iShares Core US Aggregate Bond ETF,US_AGG,BOND,1.00,0.006,US,,0.0
GLD,SPDR Gold Shares,GOLD_BULLION,GOLD,1.00,0.004,US,,0.0
IAU,iShares Gold Trust,GOLD_BULLION,GOLD,1.00,0.004,US,,0.0
AAPL,Apple,AAPL,US_EQ,1.20,0.18,US,TECH,1.0
MSFT,Microsoft,MSFT,US_EQ,1.10,0.16,US,TECH,1.0
NVDA,NVIDIA,NVDA,US_EQ,1.70,0.36,US,TECH,1.3
AMZN,Amazon,AMZN,US_EQ,1.25,0.23,US,CONS,1.0
JPM,JPMorgan Chase,JPM,US_EQ,1.10,0.17,US,FIN,1.0
XOM,Exxon Mobil,XOM,US_EQ,0.80,0.15,US,ENERGY,1.0
INTC,Intel,INTC,US_EQ,1.10,0.35,US,TECH,1.0
